type_p,title,thumbnail,video
video,Late 1990s Rare Narendra Modi Interview When He Was Just A Party Worker,https://i.ytimg.com/vi/QbZkWT_hoXI/mqdefault.jpg,https://www.youtube.com/watch?v=QbZkWT_hoXI
video,Frankly Speaking with Narendra Modi - Full Interview,https://i.ytimg.com/vi/JIjMGNwStt0/mqdefault.jpg,https://www.youtube.com/watch?v=JIjMGNwStt0
video,Narendra Modi in Aap Ki Adalat 2014 (Full Episode) - India TV,https://i.ytimg.com/vi/5RRIQvViQw0/mqdefault.jpg,https://www.youtube.com/watch?v=5RRIQvViQw0
video,PM Narendra Modi at Facebook Townhall with Mark Zuckerberg | Full Interview,https://i.ytimg.com/vi/pWh9aMycz9s/mqdefault.jpg,https://www.youtube.com/watch?v=pWh9aMycz9s
video,Shri Narendra Modi's interview with Aajtak,https://i.ytimg.com/vi/gFH2_S0Xng0/mqdefault.jpg,https://www.youtube.com/watch?v=gFH2_S0Xng0
video,Narendra Modi in GhoshanaPatra on ABP News - Full Episode,https://i.ytimg.com/vi/APxEUhhPmMs/mqdefault.jpg,https://www.youtube.com/watch?v=APxEUhhPmMs
video,Narendra Modi Interview with Rajeev Shukla,https://i.ytimg.com/vi/shyXSvQW4_w/mqdefault.jpg,https://www.youtube.com/watch?v=shyXSvQW4_w
video,Actual Footage of Karan Thapar Begging Narendra Modi to Give Interview,https://i.ytimg.com/vi/OzvbUHp068A/mqdefault.jpg,https://www.youtube.com/watch?v=OzvbUHp068A
video,Zee Media's exclusive interview with Narendra Modi,https://i.ytimg.com/vi/lQP5qbnnsS8/mqdefault.jpg,https://www.youtube.com/watch?v=lQP5qbnnsS8
video,Narendra Modi Broke Down During Time Magazine interview,https://i.ytimg.com/vi/LEiKtq5FsHo/mqdefault.jpg,https://www.youtube.com/watch?v=LEiKtq5FsHo
video,Narendra Modi's interview with Headlines Today,https://i.ytimg.com/vi/aW3kudEa6-M/mqdefault.jpg,https://www.youtube.com/watch?v=aW3kudEa6-M
video,Narendra Modi run away from studio during interview by Karan Thapar,https://i.ytimg.com/vi/QHS_eSoOBzg/mqdefault.jpg,https://www.youtube.com/watch?v=QHS_eSoOBzg
video,Just See how confident Narendra Modi made Arnab Goswami sweat in live TV interview,https://i.ytimg.com/vi/zOwKil_fbRM/mqdefault.jpg,https://www.youtube.com/watch?v=zOwKil_fbRM
video,Exclusive: Narendra Modi's most revealing interview - Full length,https://i.ytimg.com/vi/ZnUBarF_pVs/mqdefault.jpg,https://www.youtube.com/watch?v=ZnUBarF_pVs
video,Watch: Narendra Modi's last interview in America 15 years ago,https://i.ytimg.com/vi/Wmn0xmVZhjw/mqdefault.jpg,https://www.youtube.com/watch?v=Wmn0xmVZhjw
video,ABP MAJHA SPECIAL INTERVIEW WITH NARENDRA MODI,https://i.ytimg.com/vi/It7l3IDL_MU/mqdefault.jpg,https://www.youtube.com/watch?v=It7l3IDL_MU
video,Narendra Modi biggest interview: Modi's historic revelations,https://i.ytimg.com/vi/VRODGLMtAgM/mqdefault.jpg,https://www.youtube.com/watch?v=VRODGLMtAgM
video,narendra modi unseen interview 2002 gujarat riots and irfan pathan,https://i.ytimg.com/vi/3jt-36Ecycw/mqdefault.jpg,https://www.youtube.com/watch?v=3jt-36Ecycw
video,Shri Narendra Modi's interview with Doordarshan,https://i.ytimg.com/vi/Y4TI4xv_3L4/mqdefault.jpg,https://www.youtube.com/watch?v=Y4TI4xv_3L4
video,Narendra Modi Interview: Watch unseen aspects of Modi-life Exclusive,https://i.ytimg.com/vi/-Fj3ov4VVBE/mqdefault.jpg,https://www.youtube.com/watch?v=-Fj3ov4VVBE
video,[ Must Watch ] Narendra Modi Exposed Rajdeep Sardesai on his Face !,https://i.ytimg.com/vi/oR35JPo04i8/mqdefault.jpg,https://www.youtube.com/watch?v=oR35JPo04i8
video,Narendra Modi bashing and blasting Arnab Goswami,https://i.ytimg.com/vi/cs-p8VYdhf8/mqdefault.jpg,https://www.youtube.com/watch?v=cs-p8VYdhf8
video,The Narendra Modi Interview || Promo || IBNLive,https://i.ytimg.com/vi/X3WwArpUAzQ/mqdefault.jpg,https://www.youtube.com/watch?v=X3WwArpUAzQ
video,Suit boot ki sarkar better than suitcase: PM Narendra Modi,https://i.ytimg.com/vi/BEqAE-TnWFE/mqdefault.jpg,https://www.youtube.com/watch?v=BEqAE-TnWFE
video,Narendra Modi Interview Must Watch Best Speech Forever Evergreen Video,https://i.ytimg.com/vi/0H3NQ0loCvM/mqdefault.jpg,https://www.youtube.com/watch?v=0H3NQ0loCvM
video,Angry Narendra Modi's Tight Slap to Reporter !,https://i.ytimg.com/vi/vhwRzuj42Ug/mqdefault.jpg,https://www.youtube.com/watch?v=vhwRzuj42Ug
video,The Narendra Modi Interview on Times Now (full),https://i.ytimg.com/vi/uRBQcFfqDlw/mqdefault.jpg,https://www.youtube.com/watch?v=uRBQcFfqDlw
video,NARENDRA MODI INTERVIEW ON VTV GUJARATI - VTV,https://i.ytimg.com/vi/knBOxjw7X6I/mqdefault.jpg,https://www.youtube.com/watch?v=knBOxjw7X6I
video,Narendra Modi's Full Interview on ETV,https://i.ytimg.com/vi/OHUPGptNQUQ/mqdefault.jpg,https://www.youtube.com/watch?v=OHUPGptNQUQ
video,Rare Narendra Modi Interview as a Party Worker in 1990 with rajeev shukla,https://i.ytimg.com/vi/ZB_h2uuffT0/mqdefault.jpg,https://www.youtube.com/watch?v=ZB_h2uuffT0
video,NARENDRA MODI | FULL INTERVIEW | WITH ARNAB | 08th MAY 2014,https://i.ytimg.com/vi/rU_Zoo3Qoto/mqdefault.jpg,https://www.youtube.com/watch?v=rU_Zoo3Qoto
video,Exclusive interview with Salman and Narendra Modi,https://i.ytimg.com/vi/EseDzZimdEY/mqdefault.jpg,https://www.youtube.com/watch?v=EseDzZimdEY
video,Narendra Modi's sharp analysis of Sonia Gandhi in 1999 interview,https://i.ytimg.com/vi/3211rCnwEmY/mqdefault.jpg,https://www.youtube.com/watch?v=3211rCnwEmY
video,Townhall Q&A (Hindi) with PM Modi and Mark Zuckerberg at Facebook HQ in San Jose,https://i.ytimg.com/vi/HHloYymVIZQ/mqdefault.jpg,https://www.youtube.com/watch?v=HHloYymVIZQ
video,Narendra Modi meets Mark Zuckerberg at Facebook HQ | Narendra Modi in USA |,https://i.ytimg.com/vi/H1I_MhN2tyA/mqdefault.jpg,https://www.youtube.com/watch?v=H1I_MhN2tyA
video,Actual Footage of Narendra Modi Interview with Karan Thapar begging NaMo to Give Time,https://i.ytimg.com/vi/CG7xLAo2vSo/mqdefault.jpg,https://www.youtube.com/watch?v=CG7xLAo2vSo
video,Narendra Modi in Aap Ki Adalat 2014 (Part 1) - India TV,https://i.ytimg.com/vi/lvqBzYOrcew/mqdefault.jpg,https://www.youtube.com/watch?v=lvqBzYOrcew
video,Narendra Modi Interview Must Watch Best Speech Forever godhra,https://i.ytimg.com/vi/_PQ54C8B9ws/mqdefault.jpg,https://www.youtube.com/watch?v=_PQ54C8B9ws
video,Narendra Modi fights back 4/5,https://i.ytimg.com/vi/V36f7w0EwHw/mqdefault.jpg,https://www.youtube.com/watch?v=V36f7w0EwHw
video,PM Narendra Modi Agressive Speech Land Bill | Parliament Sessions | CVR News,https://i.ytimg.com/vi/HUoLN5XPyAU/mqdefault.jpg,https://www.youtube.com/watch?v=HUoLN5XPyAU
video,Fresh controvrsy over edited bits of Narendra Modi's interview,https://i.ytimg.com/vi/IGwpxG51QLk/mqdefault.jpg,https://www.youtube.com/watch?v=IGwpxG51QLk
video,Narendra Modi Interview running from truth?,https://i.ytimg.com/vi/IV0dEhrRI1o/mqdefault.jpg,https://www.youtube.com/watch?v=IV0dEhrRI1o
video,Narendra Modi Speech to IAS Officers | Latest India National News 2015,https://i.ytimg.com/vi/MS7foUO81A4/mqdefault.jpg,https://www.youtube.com/watch?v=MS7foUO81A4
video,Seedhi Baat with Narendra Modi on Aaj Tak 1/2,https://i.ytimg.com/vi/3PHEOzNOlzU/mqdefault.jpg,https://www.youtube.com/watch?v=3PHEOzNOlzU
video,Narendra Modi is the Ghost of Godhra   Karan Thapar Slapped Modi On His Face,https://i.ytimg.com/vi/Hbe_u1LUWtQ/mqdefault.jpg,https://www.youtube.com/watch?v=Hbe_u1LUWtQ
video,VERY VERY ANGRY ! ! ! Narendra Modi's TIGHT SLAP ! ! ! on ABP NEWS Face,https://i.ytimg.com/vi/MphSK_fwTyY/mqdefault.jpg,https://www.youtube.com/watch?v=MphSK_fwTyY
video,Shri Narendra Modi's interview with Samaya News,https://i.ytimg.com/vi/4dtodnQgruw/mqdefault.jpg,https://www.youtube.com/watch?v=4dtodnQgruw
video,CM Shri Narendra Modi's Interview with NDTV - 2/3,https://i.ytimg.com/vi/CORdesTlJtA/mqdefault.jpg,https://www.youtube.com/watch?v=CORdesTlJtA
video,Narendra Modi Interview with Shahid Siddiqui on 2002 Gujrat riots Full Interview,https://i.ytimg.com/vi/m7UlaLcBcZM/mqdefault.jpg,https://www.youtube.com/watch?v=m7UlaLcBcZM
video,Narendra modi exposed barkha dutt rajdeep sardesai - must must watch,https://i.ytimg.com/vi/kdxmz5vGcss/mqdefault.jpg,https://www.youtube.com/watch?v=kdxmz5vGcss
type_p,title,thumbnail,video
video,Narendra Modi's interview with India TV,https://i.ytimg.com/vi/zcCJyxmHPiY/mqdefault.jpg,https://www.youtube.com/watch?v=zcCJyxmHPiY
video,Narendra Modi's interview with NDTV India,https://i.ytimg.com/vi/9OgpkBzyWWk/mqdefault.jpg,https://www.youtube.com/watch?v=9OgpkBzyWWk
video,Shri Narendra Modi's interview with Zee News,https://i.ytimg.com/vi/F0h_Vn1kRqg/mqdefault.jpg,https://www.youtube.com/watch?v=F0h_Vn1kRqg
video,Narendra Modi interview with Rajat Sharma,https://i.ytimg.com/vi/3vJT42Ng520/mqdefault.jpg,https://www.youtube.com/watch?v=3vJT42Ng520
video,Salman Khan and Narendra Modi Live Interview,https://i.ytimg.com/vi/3PQM4U4WoRY/mqdefault.jpg,https://www.youtube.com/watch?v=3PQM4U4WoRY
video,Narendra Modi's Interview to ANI (Part 1 of 2),https://i.ytimg.com/vi/74eElixjbfA/mqdefault.jpg,https://www.youtube.com/watch?v=74eElixjbfA
video,Narendra Modi's interview with Star News,https://i.ytimg.com/vi/eJ-tumzU0hQ/mqdefault.jpg,https://www.youtube.com/watch?v=eJ-tumzU0hQ
video,Narendra Modi's Exclusive Interview to ANI (Part 1 of 2),https://i.ytimg.com/vi/_O-GvEzU8jo/mqdefault.jpg,https://www.youtube.com/watch?v=_O-GvEzU8jo
video,Watch How Narendra Modi Destroyed Arnab Goswami on Rahul Gandhi issue small,https://i.ytimg.com/vi/WWoIPyE0hOI/mqdefault.jpg,https://www.youtube.com/watch?v=WWoIPyE0hOI
video,KELVIKKENNA BATHIL - Exclusive Interview With Narendra Modi 19/04/2014,https://i.ytimg.com/vi/6SlgcrEVpCg/mqdefault.jpg,https://www.youtube.com/watch?v=6SlgcrEVpCg
