title,url,description,keywords,duration,view_count,datePublished,genre,,,,,,
Late 1990s Rare Narendra Modi Interview When He Was Just A Party Worker,https://www.youtube.com/embed/QbZkWT_hoXI,Rare 1990 Narendra Modi Interview When He Was Just A Party Worker. ................................................................... Watch other fascinatin...,"Narendra Modi (Politician), India, Narendra Modi Speeches, Modi Interview, Indian Politicians, Politics (TV Genre), Politician (Profession), BJP, narendra da...",PT3M50S,489232,9/1/13,News & Politics,,,,,,
Frankly Speaking with Narendra Modi - Full Interview,https://www.youtube.com/embed/JIjMGNwStt0,"Narendra Modi speaks exclusively with TIMES NOW's Editor-in-Chief Arnab Goswami on Frankly Speaking, his first interview to an English news channel since bei...","Frankly Speaking with Narendra Modi, Narendra Modi, narendra modi latest speech 2014, narendra modi in amethi, narendra modi interview with arnab goswami, na...",PT77M29S,1580385,5/8/14,News & Politics,,,,,,
Narendra Modi in Aap Ki Adalat 2014 (Full Episode) - India TV,https://www.youtube.com/embed/5RRIQvViQw0,"Watch out BJP Prime ministerial candidate, Narendra Modi grilled by India TV's editor-in chief Rajat Sharma in Aap Ki Adalat. SUBSCRIBE to Official India TV ...","Narendra Modi, Aap Ki Adalat, modi in aap ki adalat, india tv, breaking news, top stories, rajat sharma, interview, talk show, celebrities, politician, rajde...",PT77M48S,5590594,4/12/14,Shows,,,,,,
PM Narendra Modi at Facebook Townhall with Mark Zuckerberg | Full Interview,https://www.youtube.com/embed/pWh9aMycz9s,"Please watch: ""Caste & Beef Politics Behind BJP's Big Bihar Loss"" â_¨ https://www.youtube.com/watch?v=CXSCrAyGGk0 -~-~~-~~~-~~-~- Watch Indian Prime Minister N...","Modi at Facebook office, Modi Facebook Townhall, Modi, interview with Mark Zuckerberg, modi un assembly speech, modi in usa, Narendra modi, at Facebook Townh...",PT47M17S,313530,9/27/15,News & Politics,,,,,,
Shri Narendra Modi's interview with Aajtak,https://www.youtube.com/embed/gFH2_S0Xng0,Shri Narendra Modi's interview with Aajtak,"Narendra Modi, Gujarat, India, Chief Minister, CM, Namo, Gujarat Government, PM, PM Candidate, Development, Vikas, Brand India, Prime Minster, BJP, NDA, NaMo...",PT36M50S,114117,5/3/14,News & Politics,,,,,,
Narendra Modi in GhoshanaPatra on ABP News - Full Episode,https://www.youtube.com/embed/APxEUhhPmMs,BJP's PM candidate Narendra Modi faced questions of ABP News editors in interview based special show GhoshanaPatra. Watch what Modi said- For latest breaking...,"Narendra Modi (Politician), GhoshanaPatra, ABP News, ABP News Videos, Lok Sabha Polls, Lok Sabha elections 2014",PT76M6S,278936,4/22/14,News & Politics,,,,,,
Narendra Modi Interview with Rajeev Shukla,https://www.youtube.com/embed/shyXSvQW4_w,"Old Interview (pre-2001) of Narendra Modi by Rajeev Shukla (when he was a journalist) on Ru Ba Ru Disclaimer: I do not own this video, I found it on the Inte...","Interview, India, Narendra Modi, BJP, Rajeev Shukla, Gujarat, Footage, RSS, Interviews",PT23M9S,108431,2/28/13,News & Politics,,,,,,
Actual Footage of Karan Thapar Begging Narendra Modi to Give Interview,https://www.youtube.com/embed/OzvbUHp068A,Actual Footage of Narendra Modi Interview with Karan Thapar begging NaMo to Give Time,"isis, newshour, debate, rahul, gandhi, sunanda, pushkar, rare, unseen, pictures, Narendra Modi Interview with Karan Thapar, Narendra Modi Interview with Kara...",PT3M32S,123955,7/4/14,Entertainment,,,,,,
Zee Media's exclusive interview with Narendra Modi,https://www.youtube.com/embed/lQP5qbnnsS8,"Narendra Modi, BJP's prime ministerial candidate talked exclusively to Zee Media's editor-in-chief Sudhir Chaudhary on a whole array of issues.","Narendra Modi, Narendra Modi interview, Sudhir Chaudhary, General Elections, Gujarat, Congress, Daily News and Analysis, Sonia Gandhi, Rahul Gandhi, Corrupti...",PT54M3S,170336,4/28/14,News & Politics,,,,,,
Narendra Modi Broke Down During Time Magazine interview,https://www.youtube.com/embed/LEiKtq5FsHo,"PM Narendra Modi in an interview to the Time Magazine, opened up about a variety of issues. But it was a question about what inspires him in life, reportedly...","top news, news in hindi, hindi news, today's news, delhi news, best news, aajtak, aajtak news, latest news, latest hindi news, Pepper media, Narendra Modi (P...",PT12M3S,63087,5/7/15,News & Politics,,,,,,
Narendra Modi's interview with Headlines Today,https://www.youtube.com/embed/aW3kudEa6-M,Chief Minister of Gujarat Shri Narendra Modi's interview with Headlines Today during his Sadbhavna Mission fast at University Convention Hall in Ahmedabad on...,"Chief, Minister, of, Gujarat, Shri, Narendra, Modi's, interview, with, Headlines, Today, during, his, Sadbhavna, Mission, fast, at, University, Convention, H...",PT25M43S,92392,9/18/11,News & Politics,,,,,,
Narendra Modi run away from studio during interview by Karan Thapar,https://www.youtube.com/embed/QHS_eSoOBzg,Narendra Modi's rum away from studio during interview by Karan Thapar,"zanil7, satesmanil",PT3M33S,1597089,8/31/12,Education,,,,,,
Just See how confident Narendra Modi made Arnab Goswami sweat in live TV interview,https://www.youtube.com/embed/zOwKil_fbRM, ,"Narendra Modi (Politician), UPA (Organization), National Democratic Alliance (Organization), Sonia Gandhi (Author), Rahul Gandhi (Politician), Bharatiya Jana...",PT6M47S,1816819,11/25/13,People & Blogs,,,,,,
Exclusive: Narendra Modi's most revealing interview - Full length,https://www.youtube.com/embed/ZnUBarF_pVs,"In this exclusive interview, Narendra Modi opens up about a wide array of topics: From his solutions to corruption to the recent controversy surrounding his ...","top news news in hindi hindi news today's news, delhi news, best news, aajtak, aajtak news, latest news, latest hindi news, news, google news, Narendra Modi,...",PT36M37S,115290,5/3/14,News & Politics,,,,,,
Watch: Narendra Modi's last interview in America 15 years ago,https://www.youtube.com/embed/Wmn0xmVZhjw,"In his last interview in the United States as the then BJP general secretary, Narendra Modi talked about the BJP's agenda for the 1999 Lok Sabha elections,At...","Zee News, United States, BJP general secretary, Narendra Modi, BJP, Atal Bihari Vajpayee government, Lok Sabha elections, Modi's first interview in America, ...",PT14M47S,52314,9/23/14,News & Politics,,,,,,
ABP MAJHA SPECIAL INTERVIEW WITH NARENDRA MODI,https://www.youtube.com/embed/It7l3IDL_MU,BJP's PM candidate Narendra Modi faced questions of ABP MAJHA editors in interview based special show GhoshanaPatra. Watch what Modi said- For latest breakin...,"Narendra Modi (Politician), ABP Majha, Interview, Rajiv Khandekar, GhoshanaPatra",PT72M46S,40356,4/22/14,News & Politics,,,,,,
